time,content
2021-04-02 23:02:33,"apple will use tesla battery packs for a large-scale solar energy and battery storage project that eventually will help power the iphone maker's headquarters.  apple (aapl) - get report plans to use tesla (tsla) - get report battery packs for a large-scale solar energy and battery storage project at a northern california farm that eventually will help power the iphone maker's headquarters.  the verge reported wednesday that cupertino-based apple will tap tesla’s battery packs and related technology as part of a solar farm project it spearheaded in 2015 to help power the company’s main campus.  the setup, which was approved by the monterey county board of supervisors in 2020, will consist of 85 tesla lithium-ion “megapacks” and store up to 240 megawatt-hours of energy, according to the verge, citing an email from monterey county’s planning chief.  apple said in a statement that the “california flats” project will be “one of the largest battery projects in the country,” and will support its solar farm that generates 130-megawatt hours and supplies all of apple's renewable energy in california. it didn't mention tesla.  apple added wednesday that more than 110 of its manufacturing partners around the world are moving to 100% renewable energy for production. the iphone maker last july pledged to be 100% carbon neutral by 2030.  in tesla's case, investors have been more focused on its car production and output vs. its battery production efforts. the automaker is expected to have delivered 174,000 new cars in the first three months of 2021, well above what it churned out a year ago but short of what it produced and sold in the fourth quarter.  tesla daily’s rob maurer reported earlier this week that tesla was applying for approval to build a battery cell factory in berlin, part of the company’s ongoing push to own its own energy generating ecosystem.  meantime, president joe biden on wednesday rolled out his administration's $2.25 infrastructure plan, which includes a bevy of ""green energy"" initiatives including transitioning the country's electricity grid to renewable energy sources, and creating a nation-wide electric-vehicle charging network.  shares of apple were up 1.04% at $123.42, while tesla shares were up 2.64% at $685.55."
2021-04-02 21:07:21,"apple announced wednesday that it’s building a big battery storage project at a northern california solar farm it spearhead in 2015. but what the company didn’t share is that the battery packs will come from tesla, the verge has learned.  the newly-announced setup, which will store up to 240 megawatt-hours of energy, was approved by the monterey county board of supervisors in 2020, according to documents submitted last year. it will consist of 85 tesla lithium-ion “megapacks” and be used to help power the company’s corporate headquarters in cupertino. monterey county’s planning chief confirmed that apple will use the tesla batteries in an email to the verge. apple declined to comment. tesla did not respond to a request for comment.  tesla first announced the megapack battery system back in 2019. the 60mw storage setup apple will be using is not tesla’s biggest, though. the company has built bigger overall battery storage solutions in australia and south of houston, texas of around 100mw in size. still, apple touted it as “one of the largest battery projects in the country” in a press release, saying the battery system could power more than 7,000 homes for a whole day. the tesla batteries will make it possible for apple to store energy generated by its 130-megawatt solar array at the farm, which is called california flats.  the project was quietly approved last year  “the challenge with clean energy — solar and wind — is that it’s by definition intermittent,” apple vp lisa jackson told reuters on wednesday. “if we can do it, and we can show that it works for us, it takes away the concerns about intermittency and it helps the grid in terms of stabilization. it’s something that can be imitated or built upon by other companies.”  while apple uses lithium-ion batteries in many of its products, it’s not known to be working on any grid-scale projects. the company is reportedly developing a lithium iron phosphate battery for its electric car project, though.  apple and tesla don’t have much overlapping history, though each company is notorious for poaching talent from the other. tesla ceo elon musk also said in december that he tried to pitch the idea of apple buying his company back in 2018, but that apple ceo tim cook “refused” to take the meeting.  tesla is best known for its electric cars, but it’s spent years trying to build up an energy storage business to compliment the solar products it acquired when it bought solar city. it has gotten increasingly involved in large-scale energy storage projects like apple’s over the years in addition to its home battery business.  while it’s still modest compared to the billions of dollars generated by tesla’s car business, the energy storage division’s products has already netted at least one other strange bedfellow customer: in 2019, volkswagen announced it was using tesla batteries at some of its electrify america charging stations."
2021-04-02 18:46:01,"a us federal judge has found merit in a lawsuit alleging that apple sold defective macbook pro laptops despite being aware of the quality issues.  referred to in some circles as flexgate, the issue centers on macbook pro machines sold since 2016 that have notoriously flimsy flex display cables that apparently begin to wear out after a short period of use. this results in weird display anomalies, most notably the ""stage light"" effect, when too much backlight bleeds through the bottom bezel of the panel.  in the lawsuit, the complainants allege that apple’s extensive pre-release testing, which would have included stress tests, must surely have brought the issue with the cables to the company's attention.  here are some of the best business macs  these are the best business computers currently available  and, here's our list of the best business laptops  “the court finds that the allegations of pre-release testing in combination with the allegations of substantial customer complaints are sufficient to show that apple had exclusive knowledge of the alleged defect,” wrote judge edward davila in his order.  in the know  apple’s response to the issue when it first came to light didn’t help matters either. the complainants assert that not only did apple silently replace the cables in newer macbooks, but also that the firm deleted forum posts about the issue.  the company is also said to have refused to replace the defective components, until thousands of users signed an online petition.  notably, flexgate has already led to one class action lawsuit based around the macbook keyboard.  however, according to law360, although judge davila has allowed the flex cable lawsuit to proceed, he has narrowed its scope. a class-action lawsuit has not yet been certified, but the judge has invited the nine plaintiffs to submit a new amended complaint.  need something more portable? check out the best mobile workstations  via the verge"
2021-04-02 18:35:08,"(reuters) - apple inc chief executive officer tim cook on thursday was the latest corporate leader to speak out against the state of georgia’s new voting restrictions, which many critics say targets blacks and other racial minorities.  “american history is the story of expanding the right to vote to all citizens, and black people, in particular, have had to march, struggle and even give their lives for more than a century to defend that right,” cook said in a statement.  the republican-backed georgia law strengthened identification requirements for absentee ballots, shortened early voting periods for runoffs and made it a misdemeanor for members of the public to offer food and water to voters waiting in line.  “apple believes that, thanks in part to the power of technology, it ought to be easier than ever for every eligible citizen to exercise their right to vote,” cook said.  the measure, which has also been slammed by democratic president joe biden, faces legal challenges from civil rights groups that contend it is aimed at suppressing voting among blacks and other racial minorities.  on wednesday, major u.s. companies led a charge to challenge the law, with several executives making statements against voting restrictions."
2021-04-02 13:14:41,"apple’s gaming subscription service just got a massive influx of new titles. the headliner is fantasian — the latest release from the creator of final fantasy — which is joined by other titles like new versions of nba 2k and the oregon trail, and world of demons from platinumgames. as part of the update, the service is getting two new categories of games: apple calls them “timeless classics” and “app store greats.”  for the greats, apple is adding a number of high-profile mobile hits to the service, including threes, monument valley, mini metro, and a remaster of cut the rope. timeless classics, meanwhile, refers to iconic games like backgammon, solitaire, and zach gage’s recent takes on chess and sudoku. while most arcade games are playable across apple tv, mac, and ios, these new categories will only work on iphone and ipad. the update adds more than 30 titles to the service, bringing the entire library to more than 180.  apple arcade first launched in 2019 as a new option for premium games on a platform that had become dominated by free-to-play experiences. the original pitch was a service full of new, largely exclusive games from developers like final fantasy creator hironobu sakaguchi and a number of indie stalwarts.  however, despite the quality games and relative low price (an arcade subscription is $4.99 per month), apple is reportedly not happy with the amount of engagement games are getting, which may be a reason behind this most recent shift in direction."
2021-04-02 12:38:23,"when apple introduced its controversial macbook pro redesign in 2016, the company probably didn’t know it was setting itself up to get sued — but not only is a class-action lawsuit now underway for their infamous butterfly keyboards, it’s looking likely there’ll be a second one for their notoriously fragile display cables, too. judge edward davila has decided to let the “flexgate” lawsuit go forward, ruling that apple should have known that they would fail and yet kept selling them anyhow.  “the court finds that the allegations of pre-release testing in combination with the allegations of substantial customer complaints are sufficient to show that apple had exclusive knowledge of the alleged defect,” the judge wrote (via law360 and 9to5mac). you can read the full order at the bottom of this post.  also known as stage light  to see what the issue looked like, just take a peek at our picture atop this post; it’s sometimes called the “stage light” issue because of how the cable damage would produce those dark spots.  part of the flexgate controversy is around how apple addressed the issue when it first got publicity in late 2018 — first by silently swapping a new, slightly longer cable into newer macbooks, and only opening up one of its typical free repair programs months after 15,000 users signed a petition and it was called out in the press. the company’s been a lot more responsive with issues ever since, such as with this free battery replacement program for a small number of those 2016 and 2017 macbook pro laptops that won’t charge anymore.  unlike the butterfly keyboard suit, the flexgate one doesn’t appear to be a certified class-action lawsuit yet — but there are now nine different plaintiffs lined up in this single case, and the judge is inviting them to submit a new amended complaint. we’ll be watching to see where it goes from there."
2021-04-02 12:06:31,"apple arcade expands its award-winning catalog to more than 180 games and introduces two new game categories, app store greats and timeless classics. (photo: apple)  cupertino, calif.--(business wire)--apple® today announced it is introducing two entirely new game categories and adding more than 30 incredible titles to apple arcade℠, its popular gaming subscription service for players of all ages. apple arcade offers breakthrough, unique benefits players love: no ads, no in-app purchases, support for apple’s high user privacy standards, and one all-inclusive subscription offer with access for up to six family members. in addition to new exclusive arcade originals, including “nba 2k21 arcade edition,” “star trek: legends,” and “the oregon trail,” the service is introducing two new game categories, timeless classics and app store® greats. arcade originals are playable across iphone®, ipad®, mac®, and apple tv®. timeless classics and app store greats are available on iphone and ipad.  timeless classics includes universally loved, quintessential genres with titles like “good sudoku by zach gage,” “chess - play & learn,” and “backgammon,” while app store greats brings some of the best award-winning games from the app store to apple arcade, including “threes!,” “mini metro,” and “fruit ninja classic,” all ad-free and fully unlocked. these two new categories join arcade originals to bring the service’s catalog to over 180 outstanding games for the entire family to enjoy at a great value, with no ads or additional in-app purchases. apple arcade is included as part of apple one℠ or for a low monthly subscription of $4.99 with a one-month free trial.  “in its inaugural year, apple arcade won over media critics and fans for its creativity, diverse portfolio, and commitment to players’ privacy, providing a safe gaming service to enjoy with family and friends,” said matt fischer, apple’s vice president of the app store. “today we’re launching our biggest expansion since the service debuted, now offering more than 180 great games that include new arcade originals, timeless classics, and app store greats. whether it’s brand new games made exclusively for arcade like ‘nba 2k21 arcade edition,’ ‘star trek: legends,’ and ‘the oregon trail,’ all-time app store favorites like ‘monument valley’ and ‘threes!,’ or traditional games like ‘chess’ and ’solitaire,’ we have an incredible variety of gameplay experiences for everyone.”  more than 30 phenomenal games are launching today, joining an ever-growing curated catalog of arcade originals, which already includes exclusives from popular brands such as “lego brawls,” “sonic racing,” “crossy road castle,” and “spongebob: patty pursuit,” as well as hits like “sneaky sasquatch,” “what the golf?,” and “grindstone.”  some of the new arcade originals games include:  “nba 2k21 arcade edition” (2k games): “nba 2k21 arcade edition” on apple arcade delivers stunning gameplay and the hit basketball simulation experience to the service. from 5-on-5 basketball featuring the latest nba roster to over-the-top games on blacktop, “nba 2k21 arcade edition” is filled with a variety of exciting game modes as players step into the shoes of their favorite nba stars. the game features performance optimizations and higher graphic quality to deliver an authentic nba experience in all its visual glory on iphone, ipad, apple tv, and mac.  “nba 2k21 arcade edition” on apple arcade delivers stunning gameplay and the hit basketball simulation experience to the service. from 5-on-5 basketball featuring the latest nba roster to over-the-top games on blacktop, “nba 2k21 arcade edition” is filled with a variety of exciting game modes as players step into the shoes of their favorite nba stars. the game features performance optimizations and higher graphic quality to deliver an authentic nba experience in all its visual glory on iphone, ipad, apple tv, and mac. “simon’s cat: story time” (tactile games limited): the latest game based on the highly popular animated series gives simon and his cat their biggest challenge yet. when the tranquility of suburban life is threatened by a huge building site, they mobilize the neighbors to help restore the mysterious “wasteland” before the diggers destroy it all. as the clock ticks down, players will solve challenging match-three puzzles to help the community rebuild the gardens under the critical eye of the curmudgeonly next-door neighbor, mr. potts, who has a secret ancestral connection to the wasteland, which he intends to keep buried forever.  the latest game based on the highly popular animated series gives simon and his cat their biggest challenge yet. when the tranquility of suburban life is threatened by a huge building site, they mobilize the neighbors to help restore the mysterious “wasteland” before the diggers destroy it all. as the clock ticks down, players will solve challenging match-three puzzles to help the community rebuild the gardens under the critical eye of the curmudgeonly next-door neighbor, mr. potts, who has a secret ancestral connection to the wasteland, which he intends to keep buried forever. “star trek: legends” (tilting point llc): the fate of the universe is in the player’s hands as they step into the role of their favorite “star trek” heroes and villains in the hit franchise’s official team-based rpg. players will embark on missions, experience epic turn-based combat, and make choices that influence the entire story as they take command of the u.s.s. artemis. they’ll warp into the nexus, where they’ll discover new worlds and recruit over 40 of their favorite characters from the entire franchise. each legend has its own unique set of skills, abilities, and weapons, from spock’s vulcan nerve pinch to worf’s deadly bat’leth .  the fate of the universe is in the player’s hands as they step into the role of their favorite “star trek” heroes and villains in the hit franchise’s official team-based rpg. players will embark on missions, experience epic turn-based combat, and make choices that influence the entire story as they take command of the u.s.s. artemis. they’ll warp into the nexus, where they’ll discover new worlds and recruit over 40 of their favorite characters from the entire franchise. each legend has its own unique set of skills, abilities, and weapons, from spock’s vulcan nerve pinch to worf’s deadly . “the oregon trail” (gameloft): a modern twist on the trials and tribulations of the road to oregon, this official successor to the global phenomenon will immerse players in exhilarating journeys ranging from the historically accurate to the completely wild. players will pick their traveling party, stock the wagon with supplies, and embark on an adventure filled with tough choices, new dangers, and unexpected situations. with procedurally selected random events where players’ choices affect their party and future game outcome, there’s always a new adventure on the horizon every time they play.  a modern twist on the trials and tribulations of the road to oregon, this official successor to the global phenomenon will immerse players in exhilarating journeys ranging from the historically accurate to the completely wild. players will pick their traveling party, stock the wagon with supplies, and embark on an adventure filled with tough choices, new dangers, and unexpected situations. with procedurally selected random events where players’ choices affect their party and future game outcome, there’s always a new adventure on the horizon every time they play. “cut the rope remastered” (paladin studios): the adorable om nom is back in the glorious 3d remaster of the internationally acclaimed “cut the rope” puzzle game. featuring the most popular levels across the series, as well as an abundance of brand new levels and content, players will cut ropes, avoid obstacles, and use boosters to deliver candy to om nom, the little green monster that loves sweets. fun physics-based gameplay, an adorable main character, and exciting adventures await.  the adorable om nom is back in the glorious 3d remaster of the internationally acclaimed “cut the rope” puzzle game. featuring the most popular levels across the series, as well as an abundance of brand new levels and content, players will cut ropes, avoid obstacles, and use boosters to deliver candy to om nom, the little green monster that loves sweets. fun physics-based gameplay, an adorable main character, and exciting adventures await. “songpop party” (gameloft): players will step up and prove their music knowledge with this fast-paced, competitive music-based trivia game. “songpop party” is the latest addition to the biggest music trivia franchise in the world, with a huge catalog ranging from cult classics to today’s top hits. bringing music fans together around the globe, the game pits players’ song knowledge against opponents’ online in the arena mode, matching them up based on their skill levels and music preferences. or players can jump into the new local and online multiplayer party mode to compete with friends and family.  some of the new timeless classics games include:  “really bad chess” (zach gage): “ really bad chess” is just like chess, but with totally random pieces like eight knights, four bishops, and three pawns. for chess pros, the game will give them a new type of challenge. for novice players, “really bad chess” opens up the game for players to discover the joy of learning how to checkmate in their first games, instead of starting by studying openings.  really bad chess” is just like chess, but with totally random pieces like eight knights, four bishops, and three pawns. for chess pros, the game will give them a new type of challenge. for novice players, “really bad chess” opens up the game for players to discover the joy of learning how to checkmate in their first games, instead of starting by studying openings. “sudoku simple” (mobilityware): a beginner-friendly sudoku game, “sudoku simple” uses color to help players learn this puzzle classic. it’s easy on the eyes, starts out with smaller puzzle grids, and has adjustable levels of difficulty. if players prefer the classic colors and layout, they can simply toggle settings and access the original sudoku style.  a beginner-friendly sudoku game, “sudoku simple” uses color to help players learn this puzzle classic. it’s easy on the eyes, starts out with smaller puzzle grids, and has adjustable levels of difficulty. if players prefer the classic colors and layout, they can simply toggle settings and access the original sudoku style. “backgammon” (adikus): one of the oldest board games, “backgammon” features a cool graphic design, soundtrack, and sound effects for gamers to play on their own or online against friends.  one of the oldest board games, “backgammon” features a cool graphic design, soundtrack, and sound effects for gamers to play on their own or online against friends. “tiny crossword” (playsimple games pte ltd): “tiny crossword” caters to beginner, intermediate, or expert players with access to thousands of crossword puzzles of varying sizes, covering everything from movies to sports, history, and science. players looking to keep their brains active and their minds sharp, look no further.  “tiny crossword” caters to beginner, intermediate, or expert players with access to thousands of crossword puzzles of varying sizes, covering everything from movies to sports, history, and science. players looking to keep their brains active and their minds sharp, look no further. “solitaire by mobilityware” (mobilityware): this solitaire title includes classic gameplay in addition to new modern features. players can win crowns from daily challenges, enjoy monthly themes and trophies, and work their way up the leaderboards. or for a more traditional feel, they can simply play klondike solitaire the way they’ve always remembered it.  some of the new app store greats games include:  “monument valley” (ustwo games): a surreal exploration game, players manipulate impossible architecture to guide the silent princess through a stunning world in “monument valley.” players will encounter mysterious monuments, uncover hidden paths, unfold optical illusions, and outsmart the enigmatic crow people. “monument valley” on apple arcade also includes both of the game’s expansions, “forgotten shores” and “ida’s dream.”  a surreal exploration game, players manipulate impossible architecture to guide the silent princess through a stunning world in “monument valley.” players will encounter mysterious monuments, uncover hidden paths, unfold optical illusions, and outsmart the enigmatic crow people. “monument valley” on apple arcade also includes both of the game’s expansions, “forgotten shores” and “ida’s dream.” “mini metro” (dinosaur polo club): “mini metro” is a subway simulation game in which players design the subway map for a growing city. new stations are popping up all the time, and it’s up to the player to draw the routes that connect them. they’ll redraw lines, build tunnels, place precious upgrades, and get everyone where they need to be.  “mini metro” is a subway simulation game in which players design the subway map for a growing city. new stations are popping up all the time, and it’s up to the player to draw the routes that connect them. they’ll redraw lines, build tunnels, place precious upgrades, and get everyone where they need to be. “threes!” (sirvo llc) : the original number slider, “threes!” is a tiny puzzle that grows on the player as they merge small numbers to create bigger numbers, and repeat to avoid gridlock.  : the original number slider, “threes!” is a tiny puzzle that grows on the player as they merge small numbers to create bigger numbers, and repeat to avoid gridlock. “fruit ninja classic” (halfbrick studios): the hit fruit slicing game features multiple modes for players to slice and dice their way to a high score. they can use unique blades and special bananas to maximum effect, and go crazy on the multislice pomegranate.  the hit fruit slicing game features multiple modes for players to slice and dice their way to a high score. they can use unique blades and special bananas to maximum effect, and go crazy on the multislice pomegranate. “chameleon run” (noodlecake): “chameleon run” is a unique, fast, and challenging autorunner with a colorful twist. the goal is for players to switch their color to match the ground as they run and jump through expertly crafted levels to achieve the fastest time.  pricing and availability  apple arcade is available for $4.99 per month with a one-month free trial. customers who purchase a new iphone, ipad, ipod touch ® , mac, or apple tv receive three months of apple arcade for free. 1  , mac, or apple tv receive three months of apple arcade for free. apple arcade is part of apple one’s individual ($14.95), family ($19.95), and premier ($29.95) monthly plans, with a one-month free trial. 2  providing a fun and safe platform for families around the world who are looking for great interactive entertainment, an apple arcade subscription gives a family of up to six unlimited access to all the games in its catalog.  additional games launching today include arcade originals “fantasian,” “wonderbox: the adventure maker,” “world of demons,” “clap hanz golf,” and “taiko no tatsujin: pop tap beat”; timeless classics “checkers royale,” “chess - play & learn,” “flipflop solitaire,” “good sudoku by zach gage,” “spelltower,” and “mahjong titan”; and app store greats “badland,” “blek,” “don’t starve: pocket edition,” “reigns,” and “the room two.”  “fantasian,” “wonderbox: the adventure maker,” “world of demons,” “clap hanz golf,” and “taiko no tatsujin: pop tap beat”; timeless classics “checkers royale,” “chess - play & learn,” “flipflop solitaire,” “good sudoku by zach gage,” “spelltower,” and “mahjong titan”; and app store greats “badland,” “blek,” “don’t starve: pocket edition,” “reigns,” and “the room two.” titles coming soon to the service include “legends of kingdom rush,” “frenzic overtime,” and “leo’s fortune.”  game availability for the 180 titles across devices varies based on hardware and software compatibility. some content may not be available in all areas.  1 new subscribers only. $4.99 per month after free trial. one subscription per family sharing group. offer good for three months after eligible device activation. plan automatically renews until cancelled. restrictions and other terms apply.  2 the apple one free trial includes only services that are not currently used through a free trial or a subscription. plan automatically renews after trial until cancelled. restrictions and other terms apply.  apple revolutionized personal technology with the introduction of the macintosh in 1984. today, apple leads the world in innovation with iphone, ipad, mac, apple watch, and apple tv. apple’s five software platforms — ios, ipados, macos, watchos, and tvos — provide seamless experiences across all apple devices and empower people with breakthrough services including the app store, apple music, apple pay, and icloud. apple’s more than 100,000 employees are dedicated to making the best products on earth, and to leaving the world better than we found it.  note to editors: for additional information visit apple newsroom (www.apple.com/newsroom), or call apple’s media helpline at (408) 974-2042.  © 2021 apple inc. all rights reserved. apple, the apple logo, apple arcade, app store, iphone, ipad, mac, apple tv, apple one, and ipod touch are trademarks of apple. other company and product names may be trademarks of their respective owners."
2021-04-02 09:14:07,"image source: unsplash  5g stocks are attracting more investing dollars with each passing day. if your portfolio does not yet have a 5g stock, it is time to considering adding one. even if you own one or several 5g stocks, it is in your interest to keep an eye on the industry to see which stocks have the best growth outlook.  5g will prove even more important as time progresses. these uber-fast wireless connections will shape how business is conducted and improve the human experience. though it has taken a while for 5g to be implemented, this technology is becoming ubiquitous.  broadcom (avgo - get rating) and qualcomm (qcom - get rating) are two of the more intriguing 5g stocks. let’s delve into each’s nuances to determine which is more worthy of a place in your portfolio.  a look at avgo  avgo makes semiconductor chips used to power 5g devices. examples of avgo semiconductor products include integrated circuits for specific applications, microwave components, and optoelectronics radio frequency components.  avgo is different from qcom in that it does not sell cellular modems of the standalone variety or mobile applications processors. avgo’s chips have considerable value as they are essential to enabling smartphones’ wireless capabilities, meaning the company will benefit from 5g technology. it is important to note that the 5g transition is steering avgo’s top customers, such as apple (aapl), to buy its most advanced cellular chips. such chips are comparably expensive, meaning avgo will be raking in cash for years to come.  avgo has an overall grade of a in our powr ratings system. the stock has b grades in the stability, growth, sentiment, and quality components. click here to find out how avgo fares in the value and momentum components.  of the 99 stocks in the semiconductor & wireless chip industry, avgo is ranked second. you can find other top stocks in that industry by clicking here."
2021-04-02 01:39:28,"apple inc (nasdaq: aapl) will be using battery packs from tesla inc (nasdaq: tsla) at its california solar project, the verge reported on wednesday.  what happened: apple earlier in the day announced details related to the under-construction california solar project capable of storing 240 megawatt-hours of energy, enough to power over 7,000 homes for a day. the set-up will have 85 tesla lithium-ion “megapacks” to help power the company’s corporate headquarters in cupertino, according to the verge report.  the report says monterey county’s planning chief confirmed the development while apple declined to comment and tesla did not respond to a request for comment.  the project supports apple’s 130-megawatt solar farm that provides all of its renewable energy in california. however, the site does not provide power at night.  why it matters: over 110 of apple’s global manufacturing partners are shifting towards complete renewable energy for their apple production, with almost 8 gigawatts of planned clean energy set to come online. all of which will prevent over 15 million metric tons of yearly co2 emissions equivalent to taking off over 3.4 million cars annually off the road.  tesla has over the years also focused on building an energy storage business to complement the solar products it acquired when it bought solar city. it is increasingly getting involved in large-scale energy storage projects such as apple’s and also announced it was using tesla batteries at some of its electrify america charging stations.  price action: shares of apple closed 1.88% higher at $122.15 on wednesday and were up 0.25% in extended trading hours. those of tesla closed 5% higher at $667.93, and were down 0.69% in extended hours  read next: apple 'could be a fast follower' and snatch at least 5% share of ev market: analyst"
2021-04-02 01:34:12,"thinking about picking up a new apple watch? it’s never a bad idea to wait until there’s a good deal, and thankfully, those happen with some regularity.  there are currently three models to choose from, all of which support watchos 7. the latest model, and the highest end, is the apple watch series 6 with gps and wi-fi connectivity, which starts at $399. if that’s a little too expensive, you can drop about $120 off the price by buying an apple watch se, which also launched this fall.  finally, the three-year-old series 3 is the most affordable apple watch model to date. it has a starting retail price of $199, but it frequently goes on sale. if you’re looking for something to last a few years, though, it’s probably worth looking at one of the other two watches, as it’s not clear how much longer apple will deliver software updates to the series 3.  while deals are a fairly regular occurrence, there will be times where there are no price drops on new models. for those times, we also include some deals on refurbished models.  apple watch series 3 deals  the regular price for the 38mm series 3 is $199 ($229 for the 42mm), which is a decent deal. it’s a great entry-level apple watch if you are looking for a smartwatch with reliable battery life and don’t want to burn a massive hole in your wallet.  apple watch apple watch series 3 (38mm, gps) $169  $199  16% off prices taken at time of publishing. the apple watch series 3 is the most affordable watch in apple’s lineup, and it makes a good entry-level apple wearable. $169 at walmart  currently, the 38mm series 3 is $169 at walmart, which is $34 off its usual price of $199. if you are looking for the series 3 in 42mm, walmart has knocked $30 off this model’s retail price as well, bringing it down to $174.  apple watch se deals  starting at $279 for a 40mm version or $309 for the 44mm, the apple watch se is a good midrange wearable and shares some features also found on the flagship series 6 model, such as a built-in accelerometer and hand-washing detection. but it doesn’t have the always-on display found on the series 5 and series 6.  the best deal right now on the apple watch se 40mm with gps is at amazon, which has the configuration on sale for $270 in gold and space gray.  the 44mm with gps is also on sale at several retailers. the lowest you can currently get this model for at amazon is $289 in gold or white. walmart also has this model on sale for $289 in rose gold and white.  the flagship apple watch comes in two sizes, 40mm and 44mm, with respective starting costs of $399 and $429. the apple watch series 6 features more sensors than previous models, including a sensor that allows the device to detect your body's blood oxygen levels.  if you are looking for the 40mm with gps, amazon has the lowest price right now for this model: $349 if you buy the watch in red and navy blue. walmart has the series 6 40mm for $349 in red and white.  if you want a 40mm model that supports gps and cellular, amazon has this configuration down to its lowest price of $449 in gold, navy blue, red, space gray, and white."
